Index,Comment,Sentiment,Toxicity
0,is he not singaporean?,neu,n
1,he who?.. cuz he cute ..,neu,n
2,"toxic sia his ""friends""",neu,n
3,"some refer singapore as ""switzerland of asia""",neu,n
4,his voice sound attractive.,neu,n
5,benedict goh from the pyramid game!,neg,n
6,never heard of it called as the prawn capital,pos,n
7,what is the name of this beautiful interviewer?,pos,n
8,@jingyeah,neu,n
9,when i went to sg some guys were really good looking.,pos,n
10,who is he,neu,n
11,how about singapore gals lol,neu,n
12,@jeong_yun.o ik u'll beg to disagree wahahhaha,pos,n
13,ive been to singapore and i must say as someone who visited many countries yall have the most diverse cuisine and culture bc its all cultures in one,neu,n
14,"that's very true gurl, best believe",neu,n
15,@soo,neu,n
16,i thought it's cuz we always say 'sia',pos,n
17,@j0_002 thoughts? hahahahaha,neg,n
18,@cadhlahall nooo,pos,y
19,"in thailand, we call ""pla salid"". it can be used for both, man and woman.",neu,n
20,@suz true?,neu,n
21,@ so true though,neu,n
22,we're 13% millionaires by next year.,neg,n
23,"""hipon"" here in the philippines",neu,n
24,"it's true tho, look at sg celebrities",neu,n
25,omg. that prawn reference originated here in the philippines,neu,n
26,"""at least they go to the gym""",neu,n
27,who is this man?,neu,n
28,he's very handsome,neu,n
29,that's the trade off if you are very successful country haha. you wanna be poor but looking? or d other way around?,neu,n
30,''hipon''for shorts here in the philippines.,neu,n
31,oh noh thats not true,neu,n
32,"coming from another country, am so sorry to say that they really do say that",neu,n
33,in my country singapore is the melting pot of asia,neu,n
34,totally agreeee on the take on sg men,neu,n
35,oh no!!!,neu,n
36,really??? i think they're pretty cute tho,neu,n
37,i think i'm in love with him oh my gosh,neu,n
38,@herlene nicole budol... watch this,neu,n
39,hard watch,neu,n
40,i stay 8yrs in singapore but i never heard this saying.,neu,n
41,truth,neu,n
42,well singaporean people is,neu,n
43,@acey lol,neu,n
44,singapore guys looks good...,neu,n
45,"in the philippines @itsclarityco, we refer prawn guys as ""hipon"" in filipino. but i didn't know singapore as ""prawn capital""!!!",neu,n
46,"wait, but when i visited singapore almost every guy i see are cute",neu,n
47,"whaaat, i find sg guys cute haha when we went there",neg,n
48,okay but @titus low is an exception!,neu,n
49,wow,neu,n
50,isn't this a g thing?,neu,n
51,never heard it like that about singaporean men,neu,n
52,we call that 'hipon' in philippines,neu,y
53,he just outed himself :),neu,n
54,we dont know that...,neu,n
55,kinda true,pos,n
56,he's very handsome,neu,n
57,no... they are so handsome.,neu,n
58,she dissed her own men and tried to pretend it she didn't intend to,neu,n
59,this man is gorgeous tho??,neu,n
60,i guess most of his friends overseas are filipinos. the shrimp (hipon) reference is very popular in the philippines,neu,n
61,who is this boy?,neu,n
62,"oh no, if they do that to me, onli left bone.",neg,n
63,true..hahaha,neg,n
64,lol now everyone knows which side of the team he bats for,pos,n
65,literally nobody calls singapore that,neg,n
66,prawns have nutritional benefits hor unless you are allergic haha,neu,n
67,but i love them,neu,n
68,nooooooo,pos,n
69,am i the only one who eats the whole prawn?,pos,n
70,i thought it was about selling a lot of prawns,neu,n
71,omfg hes so cute @softpastel7 lol,neg,n
72,who's he? he fine,pos,n
73,very hipon? lol,pos,y
74,heard this before,neg,n
75,i like singaporean guy and he's cute,neu,n
76,shellfish was a good one tho haha,neu,n
77,never heard of that saying,neu,n
78,got such saying meh? i don't go gym wor,neu,n
79,xia xi nan hai,neu,n
80,im from outside sg and have never heard such things lol. only heard kiasu country,pos,n
81,spot on,pos,n
82,but the male host is very handsome soo... he is an outlier?,neu,n
83,are u sure?,neu,n
84,all i've ever heard was that they are all rich. nothing else,neu,n
85,and people wonder why i have issues with self image,neu,n
86,when i was there recently there were some babes!,neu,n
87,change your friends tbh,neu,n
88,"i think sg people are serious, too hurry, and hardworking.",neg,n
89,so many layers packed in a prawn metaphor lol,neu,n
90,"heard about this before but in thai it's gourami or plaaslid..if you search this word in thai, you won't see the head.",neg,n
91,the accent killing me,neg,n
92,i found they look charming,neu,n
93,"nope, the singaporians look great :3",neg,n
94,i think singapore guys look good though.,neu,y
95,this guy is very good looking. what's his name? actor?,pos,n
96,i went to sg and jusko left n right pogi,neu,n
97,*looks around* how come the guy friends around me are all not muscular???,pos,n
98,sonia,neu,n
99,but both of you looks stunning..!!.those who say like that?..i dont understand.,neu,n
100,never do anything oso tio attack. solid la,pos,n
101,i think that's a filipino thing. hipon.,neu,n
102,never heard of that ...,neu,n
103,i've never heard of this,neu,y
104,i really like the singaporean accent,neg,n
105,hahaha oh nooo.. comin across this first time today,neu,n
106,yeah this is accurate. when i am overseas that's how they describe the men here.,pos,n
107,not a lot of them go jim,neu,n
108,are u not a singaporean?,pos,n
109,kingdom of singapore,neu,n
110,that's so true,neg,n
111,i'm from overseas and i've never heard that - ever.,neu,n
112,"her reaction... ""oh noooo!"" hahahahha.
he's so handsome though",neu,n
113,and they still stay in their parents hdb,neg,n
114,ouch.,neu,n
115,me too.i also never heard of it the prawn capital at all.,neu,n
116,@arya chen i know someone,neg,n
117,"in the philippines, it's called ""hipon""",pos,y
118,its better than if they call you pusit or calamares lol,pos,n
