Index,Comment,Sentiment,Toxicity
0,"Japan IPL Free 100 IPL Shots for Brazilian and Boyzilian IPL Treatments on 9th June 2021, 69 Brazilian Day.

Redeem extra free 20 IPL Shots when you sign up via this link: .",neu,n
1,The friendship between Jade and Dew has now moved on to the next level,pos,n
2,When Jade said that Dew was gonna IPL for her.... I expected it to be on a whole other part of the body than what we were shown...,neu,n
3,This is next level friendship goals HAHAA,neu,n
4,only for jade and dew will I willingly watch a whole 10min+ ad,neg,n
5,"Dew is living every Singaporean man's dream, to have Jade Rasif touch their kukujiao sia",pos,n
6,i normally dont say this but jade seems so lovable in this video.,neg,n
7,Jade n Dew makes a great duo..amazing chemistry,pos,n
8,I guess this is how maximum lvl of frienship looks like,neg,n
9,this is BY FAR the best episode of this show,pos,n
10,We all know dew enjoyed it,pos,n
11,One of the funniest episodes yet ,neu,n
12,Dam! Just saying going to the next level now.,neu,n
13,Next level friendship sia,pos,n
14,Wow that's another level of being comfortable and trusting your friend,pos,n
15,man like dew winning in life,pos,n
16,Dew most definitely has balls.,neu,n
17,Dew likes Keisha so much he put her name twice in the description,pos,n
18,They seem to be having way more fun than what I presumed,neu,y
19,So excited for new episode!,pos,n
20,This channel is wildd siaaaaaaaaa,pos,n
21,Adeline looks like Jade actually,pos,n
22,Dew is such a cool dorky friend..,neg,n
23,Wah so comfortable sia both of them,neu,n
24,"Jade and Dew? A unexpected duo, time for a new ship since saf is not around.

Also jade mentioned dew's brows and i realised, brow bros",neu,n
25,this is so awkward to watch but I love it HAHAHAHHA,neu,n
26,my fav episode ever,neu,n
27,"This episode is 
spiccccy",neu,n
28,dew living the dream damn,neu,n
29,"You can never go back, bro.",neu,n
30,This was so entertaining ,pos,n
31,"“whitening or non whitening mam?”
“epi”
“What’s epi?”",pos,n
32,PLSSSSS I COULDNT STOP LAUGHING,neg,n
33,Bro this shit was so funny HAHAHAHAH plus the editing tho ,neu,n
34,THE HAIR ON HER ARM,neu,n
35,Jade is so adorable HAHAHAHA,neu,n
36,BRO THE EDITOR,neg,n
37,Wow i didn't know Japan IPL does shots for males too I'm gonna recommend guys to go there too! :),neg,n
38,I'm here for Dew's Freakout,neu,n
39,this jade is sooo funny HAHHAHAHAHAHHAA.,neu,n
40,wa dew nearly IPL her eye brow siaaaa,neu,n
41,LMAOOOO THIS EP,pos,n
42,the zoom in at the end though,neu,n
43,LMAO This was so funny istg,neu,n
44,"Ok not fair la, must do same place la, if not where got fair for dew",neu,n
45,So.. when can I book for Jade for my boyzilian ,pos,n
46,Dew you're lucky,neu,n
47,Saffron must be jealous ,pos,n
48,This video is gonna be the top viewing video liao,neu,n
49,I can’t stop laughing hahahhaha,neg,n
50,HAHAHAHAHA “ eh why Soo small”,neu,n
51,Jade is enjoying this more than Dew,pos,n
52,"Omg first time here before there’s any comment , achievement unlock I guess but anyway hilarious video !",neu,n
53,Can put the camera higher next time,neg,n
54,Haha dew very nervous,neu,n
55,"Dew actually looks decent without eyebrows, next episode Jade removes Dew's eyebrows",neu,n
56,"omg dew calls jade ""babe"" haha",neu,n
57,I have up already.... ,neu,n
58,ah in tiny AHAGAHHHAHGAHA,neu,n
59,So how dew ball ?,neu,n
60,They should do a version where dew does this to jade,pos,n
61,The Trust,neu,n
62,maybe when dew sunat also jade was there,neu,n
63,No way these two never hooked up before,neu,n
64,I will never trust another person to shave my balls bruh u brave ,neu,n
65,"Friendship Goals??? 
Or did I just see the bottom of the Friendship Zone??",pos,n
66,Shld let Dew try sugaring,neu,n
67,Omg really ah,neu,n
68,"holishyt! new dynamic duo, dew x jade, no more saffy",neu,n
69,Where is the location?,pos,n
70,jade still got body hair to shave meh,neu,n
71,"no one: 
literally no one:
dew:AiYeEeE
lol
no hate intended tho",pos,n
72,"Hi, im new here. Are those 2 a couple?",neu,n
73,shiok ah,neu,n
74,sheeeshhh haha,neg,n
75,Hi,neu,n
76,Just get married at this point,neu,n
77,hi,neg,n
78,wtf did i just watch,neu,n
79,wow just ,neg,n
80,what the actual fuck hahahha,neg,n
81,Chey..I thought it will be on her ahem ahem..,neu,n
82,Why hard now ,neg,n
83,Looool,pos,n
84,weird relationship,neu,n
85,jade and dew should be friends with benefits.,pos,n
86,"Dew called jade babe....

SUS!",neu,n
87,Hahah,pos,n
88,early,neu,n
89,First comment?!,pos,n
90,first bois,neu,n
91,1st,neu,n
92,1ST,pos,n
93,First,neu,n
94,first,neu,n
95,First,neu,n
96,if my friend help me do can get another 100 free anot haha,neu,n
97,First,neu,n
0,woah jade and saffron duo feels right again,neu,n
1,rach l True,pos,n
2,LOL. I would rather watch this than RealTalk. The chemistry here is so much better than the current casting of real talk. Dammmnn.,neu,n
3,jade rasif could talk for an hour and i would be emotionally invested throughout,neu,n
4,"Dew is like the ""sister"" of a hot chick group that always gets roasted",neg,n
5,Everytime i see Jade. I rmb the story she told about the fried chicken HAHAHHAAHA,pos,n
6,I want to know Munah's workout - she looks really glowy and toned!,neg,n
7,Whoa. This episode was just Dew getting schooled by the girls.,pos,n
8,"Munah is the best person to be a sister material, like she can give the best life advice to you.",neg,n
9,So this is where u guys are hiding. That other grp in realtalk bores me.. Subbed right away,pos,n
10,"love the chemistry of the crew!!! everyone had their own screentime to share their stories and the video length is perfect! felt like i was only watching for 5min, not complaining!!",pos,n
11,This is better than real talk ever since they replace the OGs,neu,n
12,longer episodes like this are what we need,neu,n
13,"Dew has his work cut out for him with this new show. All these girls are crazy, man.",pos,n
14,"THIS IS THE BEST CONTENT SINCE A REALLY LONG TIME . 

Thanks the crew and members making it . Dang DEW SAFFY JADE n the OG flirtatious women n Keisha . I love y’alll",pos,n
15,"Dew: 'Mashaallah I thought HE was insecure!' 

Damn i really like this new Dew vibe ",pos,n
16,"This needs more views !!
Thanks, for bringing back the old group and love these 2 new lovely ladies.",neu,n
17,Appreciate the long episode!!!,pos,n
18,Munah is back!! Love the queen and put together with the gang... just wished there was Hirzi so he can stir shit up with his psychological questions and shit. Pls one episode have Hirzi come on,neu,y
19,"‘i was 19 he was 5 years older than me’
dew: counts 5 on his fingers
also dew: “23”",pos,n
20,Munah gives such good advice I’m so happy she’s on this series!,pos,n
21,i really love Jade i swear to god I love her personality,pos,n
