Index,Comment,Sentiment,Toxicity
0,i’ve got to say…. this was one of the best “chats” you guys have had with a guest. keep it up Wello! ,pos,n
1,yall should settle the sibling rivalry with a gameshow it would be a good content. Achap is the host,neu,n
2,Bruh such an unexpected but a dream collab!,pos,n
3,"""Muke kau macam lipas"" worth the two hours of listening great podcast much love for you guys keep it up!",pos,n
4,what a sick collab. worth wtchg the whole 2hrs,neu,n
5,Best Wello episode hands down ,pos,n
6,"Appreciate the captions, solid gesture ",pos,n
7,"fuh siap ada subtitle, good job WELLO!",neg,n
8,"To be honest, nvr heard of UXM till I watched this interview. This is the best hands down.. Congratulations guys..",pos,n
9,"Just found this channel and watch some of your videos, but I can say this is by the far the best episode. The joke, vibe, stories are on the same level. Hope can collab again for other stuff",neu,n
10,We neeed moreeee of this collabbb,pos,n
11,wahh 2hrs liao .. let's goo laaa ,pos,n
12,finally someone that really agree on how toxic twitter community is,neu,n
13,this podcast is really funny guys! keep it up!,neu,n
14,The most hilarious episode ever!,neu,n
15,"I had never laughed soo much in one podcast, this was amazing !",neu,n
16,Love we’ll always watched at Tiktok . Today so happy to watch at YouTube . Love y’all ,neu,n
17,"This is the first time I watch a YT video for 2hrs, awesome guys. ",pos,n
18,"I can never look at hafiz the same 
 Face like lipas ",pos,n
19,Best episode ever! Following UXM straightaway from Malaysia,neu,n
20,"HUHUUUU YAYY FINALLYYY NEWWW VIDEOOO !!!! 
 LESGOOOOO !!!!
Salute to UXM !!! 🫡
️
️",neg,n
21,"Shout to this episode ,I laughed no stop ",pos,n
22,LAUGH TILL I CRY! MY GOSH! This is entertaining!,neu,n
23,Finally long episode ,neu,n
24,yess !! finally this Collab !!! uxm×wello,neu,n
25,I literally choked when he said “your face like cockroach”… like wth..,pos,n
26,"the best episode so far 
🫶",neu,n
27,Last part very plot twist siaa ,neu,n
28,The best interview bro laughing my ass off,neu,n
29,i have been waiting you guys too post sia,neu,n
30,“Muka kau macam lipas” impacted hafiz so much that he used it in an old uxm video ,neu,n
31,"worth to watch, like a entertain show",neu,n
32,BEST COMBO EVER I SWEAR!,neu,n
33,24:52 my favourite la,neg,n
34,legendary,neu,n
35,i actually watched this full video,neg,n
36,Best video!,neu,n
37,I’m 32 years old and i followed uxm since 2012. Uxm korg the best!,neg,n
38,Hahaha kelakar sangatttt,neu,n
39,"Gifting hair to someone is actually a symbol of devotion can also be considered a sign of love. Especially before two lovers part ways. E.g going to war where they will part for long and there's no confirmation that the guy will come back alive. 

So yeah. That's explain the hair gift. Prolly the girl is devoting her undying love to them ",neu,n
40,Nice one,neg,n
41,great ep,pos,n
42,W collab,neu,y
43,I miss the dare me la siol,neu,n
44,"""Muka kau cam lipas"" pecah sia aku gelak
 This probaly the best podcast episode of this show siak",pos,n
45,"So where’s the part about staring,im still waiting ",neu,n
46,Asal takda sound eh,neu,n
47,entertainment sia . 2hrs went by fast,pos,n
48,i love you guys,pos,n
49,HAHAHAHAHAHAHAAH KELAKARR GILLAAA WEYY,pos,n
50,"CUTENYAA UXM ARE MORE TO CONVERSING IN MALAY WHILE WELLO CONVERSE MORE IN ENGLISH
🫶",pos,n
51,baik chap,pos,n
52,W VIDEO,neu,n
53,"please ADD ENG SUBTITLES TILL THE END OF VID PLEASE
 28:10",neu,n
54,"Weh ep ni sumpah lawak 
 tolong la invite lagi these cockroach guys ",neu,n
55,thanks for subs !,pos,n
56,"Represent the chinese ehh kalau aku tkde byk bunyi, terus kasi balik ingat ni tmpt tanah dorg pergh",neu,n
57,UXM X BSMT1 CAR MEET 2023??,neu,n
58,FIRST AH,neu,n
59,What is matrep bro ?,neu,n
60,wait what hafiz is eldest? i tot it was shafie HAHAAHA,neu,n
61,Honestly he looks like the lipas from oggy and the cockroaches...,neg,n
62,First,neu,n
63,jhjhjhjhjhihiu,neu,n
64,Miko and uxm film the collab at woodlands drive 50 Block 892A,neu,n
65,LOVE THIS,pos,n
0,Get a partner who looks at u the way shanise looks at aslem when he talks,pos,n
1,hope to see them in future podcasts! Love the chemistry ,neu,n
2,"This vid was a banger fr 
 Shanise especially",pos,n
3,"Nice episode, good to invite girls to get their opinions n perspectives",pos,n
4,"that line ""we will lead them to nowhere is true af hahaha",neu,n
5,"After all the DM and emoticons, she says “I actually just want to be a friend”",pos,n
6,do you guys ever think to make a merch?? if yes i will be the one who buying it,pos,n
7,The warrior poster really bring back my old childhood sia ,neg,n
8,LOVE SHANISE!!! HIDUP MINAHSSSSSSSSSSSS!,pos,n
9,"18:43 ""haikel lemme talk aaaaaa"" HAHAHAHHA",neu,n
10,Like i said yet again guys Shanise the ,pos,n
11,At last I can hear this minah speak proper English......awesome!!!,pos,n
12,Shanise lowkey hitting on Aslem,neu,n
13,aslem handsome maaaa pakistani,neu,n
14,the way haikal look n smile at the girl in black...,neu,n
15,"okay time to change my tinder profile bio... also, the man in orange sweater is very cute",neu,n
16,"i feel the past few episodes are more like interview rather than podcast, you guys go straight into the written down points which is quite unentertaining as compared to more relaxed or a lengthy intro",neu,n
17,Can we get a Q.A question during the podcast,pos,n
18,aslem so quiet like he not there,pos,n
19,Aslem introvert ,neu,n
20,53:30 ni men signal apa ni ,neg,n
21,dangggg... u guys are funny tho ,pos,n
22,"Haikal : How would you ask in a positive way?
Aslem: Babe you okay? You want any drinks?
 that killed me brah 48:20",neu,n
23,20:03 ,neu,n
24,"aslem jgn malu2 
 37:24",neu,n
25,lessgo,pos,n
26,Shanise has toxic habits but lowkey seems like a matured person for her age,neu,n
27,Shanise saffron vibes lowkey,neu,n
28,Shanise so beautiful sia,neu,n
29,Who is the main guy?,neu,n
30,i dm every girl I know and I always seen them as friends,neu,n
31,Who is josephine doh?,neu,n
32,"this topic i feel treads on dangerous grounds which thankfully managed to steer away from becoming a toxic debate. too many perspectives and approaches, boys and girls approach this differently, character also plays a part. introverts and extroverts and generation also plays a part. 

22:16-23:00... the risk is being led on to the point of no return where you end up having your emotions crumpled and you being a like a carpet stepped all over.

nice guys finish last.",neu,n
33,Where pippo?,neg,n
34,noce,neu,n
35,i feel like the girl in white dun let the girl in black talk,neg,n
36,I think I know who Shanise dated at the last part ,neu,n
37,nice :),neg,n
38,I curious who Shanise dated haha....,neu,n
39,nice episode. invite nice2 girls,neu,n
40,i need Haikal to dm me on how he styles his hair sial,neg,n
41,"Honestly this episode is a bit boring. The intro is too quick, like it’d be better if you can intro who is Shanise (altho most of us know her) & Josephine. Josephine is abit too introverted for a podcast.",pos,n
42,any of these girls looking for fwb?? i am so down,neu,y
0,Man it's been awhile since there was a long video and I'm loving this,pos,n
1,"wah this episode really made me relate a lot and also made me reflect on how i live life. sham’s advice or just opening up about his life and how he became who he is, was really inspirational. looked up to him before on tiktok but never knew his backstory. will move forward with his advices in mind! :D",neu,n
2,"Love this episode , feeling inspired just from listening to what Shah has to say. Keep up the good work Wello.",pos,n
3,Sham is a great conversationalist but the interviewers should stop interrupting him. It’s painful to watch. It’s okay to be curious but learn to pause and ask questions at the right time.,pos,n
4,Great conversation! Respect ,neu,n
5,never felt a 1 hour plus video not bored cause of how sham talks and his motivation,pos,n
6,Fuh  3.58am in malaysia rn. Aku patut ya tidur but terlayan podcast bai. Srsly nice work love your story sham. Love from malaysia,pos,n
7,Respect to this man.,neg,n
8,"I thought Steven Lim vs Pradip Subramanian was the first, no?",pos,n
9,Eh Sia did not know it was 1 hour+ lmao honestly sham is my inspiration from going viral from during panda or is it grab idk to a business men owning his own clothing company than some more to a boxer from a negative solution cb damn.,neu,n
10,Next UXM la! Dorang getting higher and higher yall should collab,pos,n
11,Best episode yet,pos,n
12,This is my new favourite episode,neu,n
13,"Violence its never a way to resolve a problem.  

Lead a good example.  

Hope people can open up their mind to think tru out your journey in life.",neu,n
14,IM VERY EARLY THIS TIME YAYYYY,neu,n
15,LFG!!,neu,n
16,Pioneer,neu,n
17,now kita patut tibai tu barber la,pos,n
18,Power do this episode ,pos,n
19,why aslem punya baju when its the sponsor part so weird ,neu,n
20,"""datang dah la lambat,makan bising"" HHHAHAHAHAHAHAH ASLEM!!!!",neg,n
21,Wellos . Next invite nick mikhail la.. lol,pos,n
22,Aslem got mad sauce,neu,n
23,steven lim did it before ang mo leh hahah,neu,n
24,Kenapa abg sham nak lawan popo,neu,n
25,Aslem very pay attention ,pos,n
26,What happen to what the flak?,neu,n
27,"""diam sial"" HAHAHA",neu,n
28,These 3 Wello guys are so damn clueless.,neu,n
29,English pls Broo :(,neu,n
30,Saya macam Rasa dah nak mati,neu,n
31,EYYY KATA AHAD MELAYU SIAALLAAA BAHAHAHAH,neu,n
0,"i loved listening to alif talk, he’s so mature and has a lot of wisdom. bagus la dia ni, so passionate and excels in what he does. respectful and down to earth too. his family must be very lucky to have him. truly inspires youths like myself to be better as well. hope one day i can see Alyph performing and also collaborating with bigger names in Asia out of the malay hip-hop community!",pos,n
1,Such an intelligent yet humble person. An artist who's totally dedicated to his craft. Can tell he's a deep thinker too. Respect! ,neu,n
2,Alyph’s mindset really change the way i think about life its like listening to ted talk ,pos,n
3,I hope that wello will grow big someday so that they can upgrade their mic. Penat aku tengok diorang pegang ,pos,n
4,"“ALYPH”
- THINKER
- Good advisor
- Determined",neu,n
5,"Im so proud of Alyph honestly. The way he voice out is so matured. Thinking positive and giving advice in the way others feel so comfortable. 
Proud of you and love your masterpiece ",pos,n
6,Sapa rindu sleeq hahahaha,pos,n
7,Let's go Wello! ,neg,n
8,"ALYPH + WELLO SHOW. Dua dua i like so i tak swipeee 
 tapi aslem pakai lens ah? ",pos,n
9,criminally underrated,neu,n
10,"Alyph i cannot stop you from have thought “maybe” but youre awesome i grow up with your song and non of it disappoint me especially when you mention buat selamanya when part “yeahh , kenapa ?” Is a gold truly gold to my ears!!! Man every songs you buat issa gold if you ever maybe again just go its your world , alyph world!! go man release it all you want , love the give you wanna give to world thanks for the gift alyph we truly appreciate thanks wello for these ",pos,n
11,Alyph such an inspiration ,pos,n
12, @cj-fx2kj  no,neu,n
13,a very2 good talk show guys. keep up the good work..im malaysian.u cant find these kind of show overhere..,neu,n
14,luqmanpodolski next ,neu,n
15,Damn alyph siaaaa ,neu,n
16,Wello is fucking growing lets goooooo,neu,n
17,Alyph's voice is so canduuu.. Tercandu canduuu.. ,pos,n
18,Dari jama alip masih di sleeq gua udah dengerin musiknya. Single terbaru Swipe keren abis sih..,pos,n
19,anjay lu bang mantap dah,neu,n
20,suddenly aslem grey eyes hahahahaha,neg,n
21,Datuk M Nasir & Arwah Loloq reading a lot of books to made a lyrics,pos,n
22,Aslem dah jadi white walkers,neu,n
23,"If talent exist without practice, is god unfair giving some people gift that they don't like? #justsaying. ( this tab window has been here for 5 days straight, another 15 minutes to finish this good and interesting interview. )",neu,n
24,Alamak y aslem never stutter or blank anymore siaaaaaa like last timee,neu,n
25,Lama-lama tenung aku tengok alyph ni muka dia macam malique ibrahim pun ada ,pos,n
26,YOOOOOO,neu,n
27,alyphh,neu,n
28,Why wello become more tan seyhh ?,neu,n
29,wtf happened to aslem eyes,neu,n
30,firstttt,neu,n
31,suara alyph tak suara cam alyph,neu,n
32,Next song will be ‘’Shiok’’,neu,n
33,Issit me or alyph sound lil bit like scarface  Tony Montana. Say hello to my lil friend,neg,n
34,Pergh,neu,n
0,I feel Juff has a very likeable personality. Nice person vibes. All the best for the fight bro,pos,n
1,its rlly surprising how similar sham and juff are…rlly proud of them both for overcoming what they went through…its true what they say that most of the time ur enemy are the ones that are the most similar to you…all the best to them both for the fight and may the better boxer win ,neu,n
2,"the last segment was really like a big hug man :) thankyou mat for sharing your experience, really glad i spent 2 hours watching this episode ",pos,n
3,"I'm looking forward for both Jufri & Sham to berdamai... whilst the world is coming to an end stop fighting guys...

& jujur dari tutur kata both of u in this interview both of u still have care & love of each other. U both may not know that ada yg sengaja nak laga² kan both of u...

like wat Juff said both of u have bizz to hustle with.. both of u somehow have gd in u & I'm sure as a public figure u both wanna continue reach out to pplp in an inspiring ways..

remove the toxic remove the ego maju sama² support & show love to the world & for each other... this is my take..

Fighting solves nothing...
& after boxing in the professional ring wats the aftermath n satisfaction seeing each other injured? in pain? bleed? 

wat if k.o? Nauzubillah... 
Thus far all professional Athletes will still feel sad or be in tears when they see their opponents lie flat unconscious..

Sabr, Sabr, Sabr... itulah panji perikemanusiaan... 


again both of u are good guys... 
jgn terjebak dgn desakkan bisikkan Syaitan..

I'm nobody nor am I perfect nor a fighter I'm nothing but I easily feel sad seeing our own pplp having beef, fighting, bickering on each other. it's all about 'words of choice' 

Akhir kata I wish both all well dan saya doa semoga u both come to terms & berdamai.. Insyaallah.. Aamin..",pos,n
4,i think both of them (juffri and sham) kene datang balik dekat wello after the fight. just an opinion,neu,n
5,Very good episode. Jufri speaking facts abt depression.hes a nice guy. Awesome host. Aku terlampau suke ni episode sia. HAHAHA,pos,n
6,"He gotta do more songs bro, he got a good voice",pos,n
7,The anxiety part is seriously on point. Only those who go through it will know,neg,n
8,"been supportng wello since 2019 bro , best duo",pos,n
9,"The last part is nice. My depression is the suffer in silence kind. And when it hits hard, I don't have anyone who reaches out and no one to reach out to.. Its just a vicious cycle.",neu,n
10,Let’s go! #teamjuffri!,pos,n
11,good episode!,pos,n
12,Wish there were English subtitles :’(,neu,n
13,Yala this was 2 days ago which is Sunday.. they speak Malay on Sunday rite?,neu,n
14,Finally it’s both sides!,neu,n
15,"Yup, I also have lavender oil when I have anxiety..",neu,n
16,Its true tho the fan base for sham rahman r kids n i feel tt jufri orangnye real,neu,n
17,English subtitles would be perfect,pos,n
18,Great vid but do try to speak more in English ,pos,n
19,apa description pmpn tu ,neu,n
20,"As a Malaysian listener can i know what a matrep is
im lost cause I thought it’s mat rempit as we call in malaysia",neg,n
21,HAHAHAHA #Teamjuffri!,pos,n
22,Why does aslem look like kratos,neu,n
23,aku dengar dua dua berbual its lowkey orang around them yang provoke abe they misunderstood each other abe end up gaduh because of the barber,neu,n
24,I was waiting for him to converse in English but he didn't,neu,n
25,"Love the interview with sham, was anticipating to watch this too. However i can't understand malay :(",pos,n
26,"bro my heart felt words, you guys needs speak more english to cater to the general public man.",neu,n
27,Can consider subtitles for the malay speaking part my Gs,neu,n
28,juff is so humble and down to earth unlike sham lol,neu,n
29,Because cd and police many malay. So they call Abang2. Army many chinese. They only call Abg to the transport operator. Abang2 drebar. Hihi,neu,n
30,I dk malay bro,neu,n
31,Needs some English subs,neu,n
32,Pompan tu kenape? Kulit gelap?,neu,n
33,"mengarut sia juffri ni. kejap kata sham buat content sebijik sama dia, sekejap kata shah Iskandar cakap content sama, sekejap kata tak kisah sama tapi kata video template sebijik dia. Lepastu buat buat tanya Barber mana satu. Petik semua nama nak cakap org side dia. hahahahha",neg,n
34,abang abang askar?,neu,n
35,You can see who is the bigger person in this mess,neg,n
36,rumah,neu,n
37,Tudiaaa.. Aslem Benzema mat,neg,n
38,aslem punya baju dah cam pompuan ngl,neu,n
39,Boleh nampak sah jufri tengah berbual world kat podcast wellow,neu,n
40,That botak guy is fake.. his not sincere,neg,n
41,"Nice episode ! Should really interview with UXM boys? They’re #1 malay YouTuber in sg for so long 
 they’re literally my childhood & stayed relevant for 8-9years ",pos,n
