Index,Comment
,0
0,is he not singaporean?
1,he who?.. cuz he cute ..
2,"toxic sia his ""friends"""
3,"some refer singapore as ""switzerland of asia"""
4,his voice sound attractive.
5,benedict goh from the pyramid game!
6,never heard of it called as the prawn capital
7,what is the name of this beautiful interviewer?
8,@jingyeah
9,when i went to sg some guys were really good looking.
10,who is he
11,how about singapore gals lol
12,@jeong_yun.o ik u'll beg to disagree wahahhaha
13,ive been to singapore and i must say as someone who visited many countries yall have the most diverse cuisine and culture bc its all cultures in one
14,"that's very true gurl, best believe"
15,@soo
16,i thought it's cuz we always say 'sia'
17,@j0_002 thoughts? hahahahaha
18,@cadhlahall nooo
19,"in thailand, we call ""pla salid"". it can be used for both, man and woman."
20,@suz true?
21,@ so true though
22,we're 13% millionaires by next year.
23,"""hipon"" here in the philippines"
24,"it's true tho, look at sg celebrities"
25,omg. that prawn reference originated here in the philippines
26,"""at least they go to the gym"""
27,who is this man?
28,he's very handsome
29,that's the trade off if you are very successful country haha. you wanna be poor but looking? or d other way around?
30,''hipon''for shorts here in the philippines.
31,oh noh thats not true
32,"coming from another country, am so sorry to say that they really do say that"
33,in my country singapore is the melting pot of asia
34,totally agreeee on the take on sg men
35,oh no!!!
36,really??? i think they're pretty cute tho
37,i think i'm in love with him oh my gosh
38,@herlene nicole budol... watch this
39,hard watch
40,i stay 8yrs in singapore but i never heard this saying.
41,truth
42,well singaporean people is
43,@acey lol
44,singapore guys looks good...
45,"in the philippines @itsclarityco, we refer prawn guys as ""hipon"" in filipino. but i didn't know singapore as ""prawn capital""!!!"
46,"wait, but when i visited singapore almost every guy i see are cute"
47,"whaaat, i find sg guys cute haha when we went there"
48,okay but @titus low is an exception!
49,wow
50,isn't this a g thing?
51,never heard it like that about singaporean men
52,we call that 'hipon' in philippines
53,he just outed himself :)
54,we dont know that...
55,kinda true
56,he's very handsome
57,no... they are so handsome.
58,she dissed her own men and tried to pretend it she didn't intend to
59,this man is gorgeous tho??
60,i guess most of his friends overseas are filipinos. the shrimp (hipon) reference is very popular in the philippines
61,who is this boy?
62,"oh no, if they do that to me, onli left bone."
63,true..hahaha
64,lol now everyone knows which side of the team he bats for
65,literally nobody calls singapore that
66,prawns have nutritional benefits hor unless you are allergic haha
67,but i love them
68,nooooooo
69,am i the only one who eats the whole prawn?
70,i thought it was about selling a lot of prawns
71,omfg hes so cute @softpastel7 lol
72,who's he? he fine
73,very hipon? lol
74,heard this before
75,i like singaporean guy and he's cute
76,shellfish was a good one tho haha
77,never heard of that saying
78,got such saying meh? i don't go gym wor
79,xia xi nan hai
80,im from outside sg and have never heard such things lol. only heard kiasu country
81,spot on
82,but the male host is very handsome soo... he is an outlier?
83,are u sure?
84,all i've ever heard was that they are all rich. nothing else
85,and people wonder why i have issues with self image
86,when i was there recently there were some babes!
87,change your friends tbh
88,"i think sg people are serious, too hurry, and hardworking."
89,so many layers packed in a prawn metaphor lol
90,"heard about this before but in thai it's gourami or plaaslid..if you search this word in thai, you won't see the head."
91,the accent killing me
92,i found they look charming
93,"nope, the singaporians look great :3"
94,i think singapore guys look good though.
95,this guy is very good looking. what's his name? actor?
96,i went to sg and jusko left n right pogi
97,*looks around* how come the guy friends around me are all not muscular???
98,sonia
99,but both of you looks stunning..!!.those who say like that?..i dont understand.
100,never do anything oso tio attack. solid la
101,i think that's a filipino thing. hipon.
102,never heard of that ...
103,i've never heard of this
104,i really like the singaporean accent
105,hahaha oh nooo.. comin across this first time today
106,yeah this is accurate. when i am overseas that's how they describe the men here.
107,not a lot of them go jim
108,are u not a singaporean?
109,kingdom of singapore
110,that's so true
111,i'm from overseas and i've never heard that - ever.
112,"her reaction... ""oh noooo!"" hahahahha.
he's so handsome though"
113,and they still stay in their parents hdb
114,ouch.
115,me too.i also never heard of it the prawn capital at all.
116,@arya chen i know someone
117,"in the philippines, it's called ""hipon"""
118,its better than if they call you pusit or calamares lol
119,"went thru the pandemic in sg and id call it ""the rock"""
120,"hahaha in the ph, we call them ""hipon"""
121,i've only ever known it to be super clean
122,i thought i am the only one who noticed.
123,this is canada
124,i only knew one guy from singapore and he was really cute tbh
125,when i heard 'prawn capital ' i assumed it was referring to food
126,"yeah it true singaporeans male friends in fb have this nice almost perfect build but they are not that attractive just
saying"
127,i live in tokyo and i have heard people say that about singapore
128,why is this accent giving me ptsd
129,that's insaaaane ... i've just heard that it's very humid
130,not really .some look good and attractive!!
131,"haix no choice things we cannot change also bopian unless consmetic surgery lar snip snip, only thing to do is stay health, fit and lean to compensate with hardwork mah"
132,so very good looking ppl
133,i have never met a singaporean person here in toronto. i may be wrong but haven't seen any yet!!
134,damn
135,i agree.
136,wow! he's gorgeous
137,i've never heard anyone say that. i thought it was going to be because people ate a lot of seafood lol
138,where are your friends from?! never heard of this.
139,i agree
140,superficial is realness ...
141,is true lol
142,girls and guy all so-so
143,"i find singaporean millennials more relateable than some asian australians i've met. but but its definitely ""sterile"" according to some."
144,the amount of singaporean guys i've encountered or seen have always been very good looking
145,agreed
146,it's ok got money can alr
147,what i heard was singlish or kiasu... never heard of prawn
148,"i never heard the term ""es camaron/camaroncito"" explained in english and idk what to do with myself anymore"
149,"well, this guy is an exception of course"
150,"the guy kinda looks like lee min ho from the side profile, it might be the hair cut idk"
151,i just like the singaporian accent! i like the way they speak english!
152,this is so true...
153,you need better friends sir.
154,i'm dead
155,i've never heard of the prawn capital
156,never heard that ever
157,you need better friends.
158,"so true, sorry"
159,well he's beautiful
160,i have to visit yet. vegan so not looking at prawns i have a picture of beautiful vegetation and music and warmth
161,@xuan
162,i thought it had to do with food i wanted to hear about all the prawn-based dishes
163,i never hear this before sia hahahah but yeah idl my men too muscular :( lean muscle is what i like hahahaha
164,@d_dog420696969 @dehydratd @bzoanetti ok so i have bad taste cause i think the boys here are fitter than adl but then again they do mask fish a lot
165,who is the guy. so handsome!!!
166,well you don't need to be good looking to have a muscular body or healthy body
167,a lot of beautiful girls in sg though...
168,never heard of this
169,i agree 100%
170,wth i never heard about that
171,there's good looking guys also luh
172,hes gorgeous
173,is the guy a singaporean cuz i'll definitely give him my all
174,sad to say it is true with the girls as well
175,"ahaaaaaa, i dun know that at all"
176,"i mean, he's exceptional"
177,never heard of that before
178,hes the most handsome guy here!!
179,who is he? so handsome.
180,"so my ""shirmp"" term become international"
181,"nahhh, someone just flirt with me inside the comfort room and he was so fine, i was too shy of course"
182,i love this guy's voice
183,noooo. haha they look attractive to me
184,very true
185,damn right
186,i was called like this
187,who is he???
188,so true
189,i just think it's so humid all year round
190,"actually in the philippines uses this calling to someone....hahahahah... we called it ""pasayan or hipon"""
191,never heard of that before
192,some people know where that phrase came from
193,lol are his friends from the philippines because i get the reference lol (hipon)
194,"after meeting so many singaporeans, this is so true"
195,we just call kiasu capital here
,0
0,the shadow (i thought he will show brightwin picture )
1,everyone searching for pink and white by frank ocean
2,"""deck...............of cards"""
3,@na_ kuew tiow reaa
4,bright?
5,i want to meet you bright
6,@hyunlix hah??!deck??
7,brightwin
8,bright weh
9,bright... frank ocean
10,loveuuu bright
11,not me downloading pink and white
12,love u bright!
13,frank ocean!
14,bright
15,iloveyou bright
16,bright listening to frank ocean shsjsjdjdj
17,bright!!! my favourite thai artis
18,deck........of cards *grins*
19,idjsjsj amen bright
20,bright do you miss tu???
21,bright what did you say
22,this deck.......of cards
23,comey betul senyumnya yang last tu aque cair la hahahahshshsh
24,bright
25,ayyy its bright
26,i love bright even more
27,@ * d0unia * thyme van boys over flowers
28,bright oh my lord
29,thanks baby bright
30,frank ocean mentioned!?!?!?
31,yes!! bright..
32,i will follow my dreams bright
33,bright my idola
34,@delulu seven days a week bright?
35,frank?!! frank ocean???!!!
36,okkokokok bright
37,can u do win like same as bright?
38,@riel2201 hahahaha deck...of cards
39,brooo whens f4 thailand seson 2 happening
40,i love bright so much so cute this man gives me all the feels i love this
41,frank ocean?? hes so real for that
42,he's like talking to me personally or i'm in my delulu?
43,omg why.. bright is so charming
44,bright
45,@tristan i love his english
46,ily bright
47,@ni-ki's seoulmate his voice
48,season 2!
49,"""the first you have to do whne u first wake up"" bright:""brush ur teeth"" i can't-"
50,"""deck"""
51,he's so cute
52,suddenly i'm a saxophone player.
53,that's so silly i like frank ocean to we should get married
54,bright has got unwavering confident to go through everything from his all experiences. i love and have respect for his way of thinking
55,iloveyouuuuu my loveeee
56,"thank youu clarityyy, this video is reminding me that i need to study for my exams tom, thanks to bright"
