Index,Comment
,0
0,indirectly saying jade rasif sia lolol
1,arguing abt money? titus not rich meh?
2,titus is a cb kia... period hahahaha
3,glad that cheryl realises how important it is to find a good guy. i hope that you can find someone better if not being by yourself is totally fine
4,they arguing about money? titus no money meh?
5,titus got no money
6,"so how, you miss titus"
7,but everyone knew titus swings the other way
8,argue with titus becos everytime he speak she cant understand
9,how does titus argue with you when the words that come out from his mouth don't even make sense?
10,she wants to 'educate' about love but she ownself say she love titus bcs he knows how to play the piano......
11,i thought titus is gay
12,this made me change my opinion about her. i mean i don't really know her but just the fact that she was with titus made me judge her but she shows here that she is pretty mature
13,titus no money meh?
14,there's a reason why she decided have children like within 1 yr of marriage. thinking that would lock down titus and his wealth. hope it worth the chi
15,titus left because he doesn't want to choose the child
16,who is titus?
17,"titus kukubird itchy, thats about it la"
18,ironically how she spend so much time now explaining than spend it before getting married with titus
19,i didn't know titus was poor
20,i think titus have a sugar daddy/ rich bf to spend on him previously and now he have to earn and save for himself and family.
21,she's sounds too eloquent to be with titus anyways hahh
22,i hope cheryl finds a better person to be with for her and her kid
23,who are these people
24,nowdays really is any1 with microphone can open podcast n gong jiaowei
25,that's why don't choose so fast
26,thank you for teaching us common sense
27,"you can fall in love easily. but once u create a new life, please spare more thoughts on the new life, don't ruin his/her life....."
28,but if its about money money shldnt she grow up thinking i want to study and work hard so i dont suffer
29,that was such a good wake up call
30,wisdom speaks
31,100% agree what u say... give a good environment instead of staying in a toxic marriage
32,"people about unconditional love from others, but can they do the same too.."
33,jiaowei girl
34,"is that guy acoustic, what was that..."
35,sure...sure....that all too need money
36,sohai lo choose him
37,where was this knowing before i had children
38,"""all the materilaistic things..."" .... ohhh okayyy..."
39,yes you can
40,wow something substantial being spoken about
41,facts facts a family woman
42,ironic
43,damn true by experienced
44,but my mom chose the right dad but wrong husband
45,"yes! thats why if we gonna have kids, think about whether we can give them the best."
46,true
47,"ai yi ge ren ke yi bu yong qian , dan zheng ming ai xu yao ."
48,wish i could share this on instagram story
49,i like the fact she balanced it with the same statement about the wife ... tables have turned in many household these days
50,i thought they said they still love each other and the divorce is mutual? now the true story is out
51,aiyoo if all chabo like this .....
52,is this the guy from culture sg ? saw him outside of hard rock interviewing people
53,aww i feel she is an amazing and beautiful mom
54,the words i told my mom when i ask her to leave my dad
55,i choose you to be my mum
56,lol i thought is amicable breakup? then how come got this feedback now
57,money ?
58,"ppl don't process the fact that she said ""if""... it's just an example or a neutral statement.."
59,this
60,"i told my fren when i didn't like his gf, ""remember, not only u choose a wife, but u choose a mother for ur children.."""
61,boom!
62,go for brad goh
63,strong independent woman
64,better or worse ... all rs have issues .. they looked like a nice couple
65,maderr.
66,"woah woah slow down
i gotta write this down"
67,so thts why they split?
68,indeed a very very wise choice to leave him . you are so much stronger than him
69,believe it but never go there
70,singapore ke
71,i hope youcan finds good husband
72,@tiger09
73,@p_e_r_e_v_e_e_n
74,@withlovezura
75,@rajiniswari shalini @darsh
76,yes you can choose your husband but the guy can also choose who he wants as his wife in the end of the day
77,so why did they divorce?
78,more singaporean girls need to hear that. fight fight fight
79,"send this to my dad's fyp lol. go and remarry, didn't consider that while he got a new wife he is also getting us a ""new mom"" which we don't need"
80,sibei lanjiao wei. dont itchy can liao lah you choose on behalf
81,unconditional love doesnt exist...
82,through that both is not suitable
83,to me this is child abuse really pity those kids who need to grow up with separated parents
84,where is the tv remote? i tot they using @prismplus tv that can hey google?
85,"that statement was suppose 2b ponder b4 marriage n not after~otherwise divorce is pending. love is d willingness to give n not d greed 2 take,more n more each subsequent times"
86,"thats why i'm extremely glad after 2 years, still no children blessing in disguise"
87,kmn talk cock la marketing strategy
88,when women love men unconditionally?.. when?
89,"choose a husband who isn't bisexual as well, it helps loads ."
90,sg so materialistic just choose who has the most money even if they are abusive and irresponsible
91,find a guy that is not gay
92,sad such wisdom didnt occur to her earlier
93,"rafah is being bombarded as we speak. pure evil. it is sickening. search where is rafah #superbowlmassacre
#rafahmassacre"
94,well said.
95,that's why you don't open your leg so fast until you know the person better and think you won't argue with them over petty things.
96,u so ahglee
97,i sense argumentative vibes from her ..
98,its normal for you to make mistakes when you are young. learn from it. move on and correct yourself along the way. haters gonna hate but both of them deserves a pat on their back for acknowledging it
99,who?
100,kids these days
101,yap so much. the whole world knew it was a bad idea to get married after meeting for 3 weeks. only you dk
102,then why you let him shotgun irresponsibly
103,"talk so much like love guru, in the end also divorce. like that give advice can meh?"
104,i really don't understand why u only realise this after the fact lmao. called it a mile away you 2 would eventually split and ur child is now a stat
105,"in first place.. how we know they really marriage in real..
lesson learned..
both hv diff thinking..
one can't speak properly ..one is well spoken ..
everyone hv diff thinking of values n money!"
106,think of the consequences before getting in bed with anyone.
107,"even though kids cant choose who their parents are,in the 1st place,the parents cant choose whether they going to have kids or not,no matter what u try,that is god's choice"
108,we're suppose to take parenting advice frm a woman who got married after 3 weeks of marriage n got pregnant soon after then divorced?
109,interviewing someone who don't even know whats the real meaning of love
110,now your daughter has the mentally that when she grow up she can just married any guy that she love at the first sight and got married within 24 hours
111,"if you si smart , then why you chose a husband that argue everyday"
112,if she said it like that then her daughter will likely grow up marrying ah beng ah seng like the father style
113,it took you a baby to realise he is an overgrown immature man child?
114,"divorce already sudden going around showing how it was worse for her, then go podcast teach life lessons. really a gem of a person."
115,yu ken cus yo hasbwen bat yo cildren kennot cus dey fah-de
116,be realistic know yourself first and what you can tolerate and expect. don't suffer your kid to be born for the wrong reason- that is not very responsible!
117,"i rmb u try twitching then failed, then find him for retirement but failed"
118,"the hormonal changes when a woman becomes a mother, sense of responsibility"
119,hope ur daughter learns to not anyhow sleep around too
120,but u blindly chose him
121,can't take a pumped and dumped girl seriously
122,unconditional love? get a dog
123,and where did your daughter got that idea?
124,adelle singaporean version
125,u can choose not to have kid. the world has enough population. you are bringing another human to this toxic world.
