Index,Comment
0,singapore punya malay terhibur aku
1,story went from black magic to expired condensed milk in split seconds
2,@lilily sumpah nak jumpa makcik tu
3,susu expired and berkulat kot.. mmg bdn jadi mcm udang tu.. sy penah mkn kicap.. tak perasan dekat muncung kicap tu dh berkulat sikit.. tak lama lepas
4,hahahah cute laa i love sgpore accent
5,@missfey01 @mochallo @thiqahceng @solalala05 selok la sekye ni
6,mine same story but outcome.. my fren now my stepson
7,pls do more podcasts in malayyyy
8,"""dah expired"" hahahahahahha"
9,"""service percuma"""
10,dia punya suspend tuu bro macam perut masuk angin jee last last bagitahu susu tuu dah expired apanii bro penat nak gelakkjk
11,@puuteryz aku rasa dia kena macam aku la
12,""" kau masih belom faham ke pe "" hahahaha"
13,@cucoqmaggi
14,@cumanakaza dengarr smpai hbis dok
15,i dont why but when he talk in malay lagi syiok dengar weh
16,bila member kau cerita astu kau tu dirty minded dan semua cerita dia jdikan
17,"aku kalau cerita kejadian memang sama mcm kau bro , detail punya , tapi tu la , org sekeliling aku tak suka aku cerita mcm ni , dorang respond "" oh """
18,@aleeyaarazali ahahahah aq ingt makcik tuh bg teh diet teh yg buatkan org membuang
19,@mmbesiak @karthiga_07 tgh syok dgr plot twist dy mmg rare
20,siape suruh diva sangat ah kan hahahahhaahhahaha
21,@bzlxis suka dorang ckp hahaha
22,"@enigmazzz_ygy mcm aku do , sakit perut terbongkok"""
23,"first thing first , i can felt how you feel after your friend was asking bout sexuality jokes. ask him to respect the story and get off from sexuality"
24,"lawak dowh loghat singapore, macam aku tengok film p. ramlee . btol2 klasik bahasa korang. sopan santun, kagimt kejap sebab cakap melayu full"
25,"hahahah,love ur content"
26,@whoopsyaa dh lah aku penat
27,@ali collins
28,this conversation @nikyasmine
29,@farryyssss @faheem
30,@anfield786 watch till enddd!!
31,more malay content puhleazeeeee
32,wehhhhh
33,hahahahhaa apelaa siakk aku dengar sampai abes
34,podcast ni i like. bila member nk turn into sexual pun die marh ckp nk udang juga.
35,panjang2 cite dia. last2 sebab expired jah
36,luckily member yg lain tak minum teh jugak... imagine sakit perut berjemaah situ
37,aduhhh bazir masa aku dengar susu pekat expired
38,@k4ylezz wehh
39,i love the malay + english bro
40,omg the ending
41,aku ingat makcik tu salah buat tea. kasi dia minum tea detox tu ahahahahahahahaha
42,aku takle berak
43,@seketulalice hmm
44,rindu siak nak masuk sg balik
45,hahahahahhaha storyline dia catchy
46,macam tgk melodi tv3 hahahahahaha
47,boy experienced period pain
48,dia punya explain kemain panjang tapi best cara cerita macam ni
