Index,Comment,Sentiment,Toxicity
0,singapore punya malay terhibur aku,neu,n
1,story went from black magic to expired condensed milk in split seconds,neu,n
2,@lilily sumpah nak jumpa makcik tu,neu,n
3,susu expired and berkulat kot.. mmg bdn jadi mcm udang tu.. sy penah mkn kicap.. tak perasan dekat muncung kicap tu dh berkulat sikit.. tak lama lepas,neu,n
4,hahahah cute laa i love sgpore accent,neu,n
5,@missfey01 @mochallo @thiqahceng @solalala05 selok la sekye ni,neg,n
6,mine same story but outcome.. my fren now my stepson,neu,n
7,pls do more podcasts in malayyyy,neg,n
8,"""dah expired"" hahahahahahha",neg,n
9,"""service percuma""",neu,n
10,dia punya suspend tuu bro macam perut masuk angin jee last last bagitahu susu tuu dah expired apanii bro penat nak gelakkjk,neu,n
11,@puuteryz aku rasa dia kena macam aku la,pos,n
12,""" kau masih belom faham ke pe "" hahahaha",pos,n
13,@cucoqmaggi,neu,n
14,@cumanakaza dengarr smpai hbis dok,neu,n
15,i dont why but when he talk in malay lagi syiok dengar weh,neu,n
16,bila member kau cerita astu kau tu dirty minded dan semua cerita dia jdikan,neu,n
17,"aku kalau cerita kejadian memang sama mcm kau bro , detail punya , tapi tu la , org sekeliling aku tak suka aku cerita mcm ni , dorang respond "" oh """,neg,n
18,@aleeyaarazali ahahahah aq ingt makcik tuh bg teh diet teh yg buatkan org membuang,neg,n
19,@mmbesiak @karthiga_07 tgh syok dgr plot twist dy mmg rare,neu,n
20,siape suruh diva sangat ah kan hahahahhaahhahaha,neu,n
21,@bzlxis suka dorang ckp hahaha,neu,n
22,"@enigmazzz_ygy mcm aku do , sakit perut terbongkok""",neu,n
23,"first thing first , i can felt how you feel after your friend was asking bout sexuality jokes. ask him to respect the story and get off from sexuality",neu,n
24,"lawak dowh loghat singapore, macam aku tengok film p. ramlee . btol2 klasik bahasa korang. sopan santun, kagimt kejap sebab cakap melayu full",neg,n
25,"hahahah,love ur content",neg,n
26,@whoopsyaa dh lah aku penat,neu,n
27,@ali collins,neu,n
28,this conversation @nikyasmine,neu,n
29,@farryyssss @faheem,neg,n
30,@anfield786 watch till enddd!!,neu,n
31,more malay content puhleazeeeee,neu,n
32,wehhhhh,neu,n
33,hahahahhaa apelaa siakk aku dengar sampai abes,neu,n
34,podcast ni i like. bila member nk turn into sexual pun die marh ckp nk udang juga.,neg,n
35,panjang2 cite dia. last2 sebab expired jah,neu,n
36,luckily member yg lain tak minum teh jugak... imagine sakit perut berjemaah situ,pos,n
37,aduhhh bazir masa aku dengar susu pekat expired,neu,n
38,@k4ylezz wehh,neg,n
39,i love the malay + english bro,neg,n
40,omg the ending,neu,n
41,aku ingat makcik tu salah buat tea. kasi dia minum tea detox tu ahahahahahahahaha,pos,n
42,aku takle berak,neu,n
43,@seketulalice hmm,neu,n
44,rindu siak nak masuk sg balik,neu,n
45,hahahahahhaha storyline dia catchy,neu,n
46,macam tgk melodi tv3 hahahahahaha,neu,n
47,boy experienced period pain,neu,n
48,dia punya explain kemain panjang tapi best cara cerita macam ni,neg,n
49,@anne this is so funny i actually laugh so hard,neu,n
50,bro wasted my 2.19 time,neg,n
51,ganti balik 2 minit aku,neu,n
52,@cahayaimani01 ghisau,neu,n
53,the ending,neu,n
54,long story short la,neg,n
55,jauh woah nak jumpa point dia,neu,n
56,@ur boy friend weh hahahahah kelakar,neg,n
57,"make a malay podcasts regularly after this, layan korang borak in malay lagi kekek",neu,n
58,the buildup story just to ended with condensed milk is surreal,neu,n
59,dia punya panjang cerita tu...,neu,n
60,@rnvbyl_ @nyleatasha that's why don't memilih,pos,n
61,aku berharap makcik tu bagi teh halia ke apa enn,neu,n
62,cuba buat bunyi udang,neu,n
63,im so thankful i found this acc .... u guys made my day,neu,n
64,"bro suspense, m.night shyamalan pun kalah lah!",neu,n
65,@kyrodesu ending paling gg,neu,n
66,you guys never failed to make me laugh haha,pos,n
67,so the conclusion is susu expired buat kite sakit perut .,neu,n
68,i expecting more than that hahahahhahahahha,neu,n
69,@mohdniell lwk do,neu,n
70,"""kau macam belum faham ke?"" ahahaha",neg,n
71,lmao,neu,n
72,low key low key,neu,n
73,@lookingforwanie_ suko selok aku,pos,n
74,lowkey loving the podcasts in malay,neu,n
75,@shaeo0o @maisadniaa penatla,pos,n
76,hahahaha best your story bruh,neu,n
77,hahaha..aku ingatkan makcik tu bagi detox tea adoiiii,neu,n
78,k ok,neu,n
79,the plot twist,neg,n
80,ingat cerita seram weii..aku punya la concentrate dengar story dia,neu,n
81,sameeeee,neg,n
82,hahahahhaa pasal udang tu,neu,n
83,hadoiiiii,neu,n
84,"ending dia disappointingnya tkpe la, at least jalan cerita best hahaha",neu,n
85,please hahahahaha,pos,n
86,@userrr00009_ hahah,neu,n
87,what is gawwinggg ownnn,neu,y
88,dat ending,neu,n
89,ending yg tak dijangka,neu,n
90,help,neu,n
91,@zahirahsyauqina lah rupa rupanya expired,neu,n
92,@muhdirfan900 sg ckp,neu,n
93,"dia angin dalam badan tu ,sesetengah org xboleh minum teh",neu,n
94,maaf part last i tergelak,neu,n
95,lah,neg,n
96,ending yg sangat ramah ygy teruknaw,neu,n
97,@20adib,neu,n
98,hahahhahahhaha @haneesis @ezacq,neu,n
99,pnjg lebo cerita itu je puncanya...,neu,n
100,igtkan kena teh detox,neg,n
101,straight to the point je lahh kalau cam tu jawab sebb ape sakit perutt haih,neu,n
102,tetiba rasa mcm menyesal dgr sampai habis,neu,n
103,aku penatlah gini,neg,n
104,hahhaa like your malay bro..,neu,n
105,nyesal aku dengar sampai habis,neu,n
106,"i thought, angin la tu minum teh.. rupanya susu expired",neu,n
107,the condensed milk almost costed his life,neu,n
108,the plot twist is so smooth,neu,n
109,ending diacite punya la panjang,neu,n
110,@dykmeeeee adeh,neu,n
111,@minnnie._,neg,n
112,bahasa apa ni,pos,n
113,cerita punya gempak la sia hahahahha,neu,n
114,"""aku sakit perut selepas minum air tea ah kan pastu ternyata susu expired"" lgi senang",neu,n
115,nak bgitau tu jeke,neu,n
116,minum air masak je pun bolehhh laa,neu,n
117,aku invest gila dgn story dia last2 psal susu basi,neg,n
118,adoiiiii.... gigih aku dgr,neg,n
119,punye la aq kusyuk dengo..hishshhajhahshsh,neg,n
120,you wasted my five minute that never get back,neu,n
121,weyh hahhahahahagagahaha i can't,neu,n
122,hahahaha stress akubdengar,pos,n
123,aku pun pernah do kena aku pun pikir expired ke air green tea aku beli ni.. nthlh,neu,n
124,knp tahu punca last vid..,neu,n
125,i'm soo invested in his story. aduhh,neu,n
126,cite bukan main panjang rupenye2 expired bgi blik line aq,neg,n
127,bkn mainnnnn aishh last ii hm,neu,n
128,hahahahaha.. jauh betul dgn santau,neu,n
129,damn son,neu,n
130,i thought makcik tu ltk air gas dlm air tea tu,neu,n
131,@berrrystrawberry,neu,n
132,pulangkan balik masa aku,neu,n
133,punyalah aq ingat ada plot twist besar.. rupanya expired. aduhhh,neu,n
134,lain kali mintak kopi o la senang. takya yg pekat tak kan expired..,neu,n
135,@istericedricdigory @nuralyaaaa._ weh ahahahhahahahhaha,neu,n
136,they way he dont like his friend talk dirty make me fall in love,neg,y
137,betul tapi bleck magic,neu,n
138,lah ingatkan makcik tu poision dia,neu,n
139,omg that happend to me b4,neg,n
140,natural storyteller,neu,n
141,lowkey tu ape sia,neg,n
142,"""kau masih belum paham ke pe"" hahahaha relatable siak",neg,y
143,lah,pos,n
144,"tak masalahny, time dia kata sakit perut smpi jdi udang tu dlm kepala otak aku ""dia period ke!?""",neu,n
145,"weh i suka dgr their ""borak""",pos,n
146,@sayu_senp4i,neu,n
147,"sian membe , tak pasal ii kene tuduh santau org hahaha",neg,n
148,lahh aku igt teh biasa rupanya teh tarik,neg,n
149,allahu ahahahahahahhaaha,neu,n
150,tu gastrikkk bro.,neu,n
151,plot twist dia tanjat aq,neu,n
152,tu je adeh,neu,n
153,lahhh,neu,n
154,mnyesal minta tea,neu,n
155,ingat seram,neu,n
156,bende susah buat ape senang,neu,n
157,damn soooon,neu,n
158,i like when he said 'damn son,neu,n
159,biasa la tu air tea sakit perut,neu,n
160,knp tk cakap awal awal,neg,n
161,siannn hahaha,neg,n
162,kesian tau,neu,n
163,@adamboek_ dgr smpi habis,pos,n
164,aku suka doh cara malay singapore ckp dia ada campuran english dan malaysian so nmpk cam style gitu cehh style seyy hahah,neu,n
165,my lord,neg,n
166,@simpmennaaa nak try,neg,n
167,panjang cerita dia nak tau apa punca tu,neu,y
168,punya focus aku dgrrrrr,neu,n
169,@hhslndaaa @sayangayeddd @sunqisss aku dengar seminit untuk tahu susu tu expired je,neg,n
170,gurl fhm the sakit perut,neu,y
171,moral of the story:never choose tea instead of gassy drink's,neu,n
172,damn son,neg,n
173,hahahahahahaa adoiii terbahakkk,neu,n
174,best dowh dngar die citer,neu,n
175,perfect twist,pos,n
176,"sekali dengar plot twist aku be like ""apa nieee...apa niee...""",neg,n
177,hahahhaahhahahaha im dying bro,neg,n
178,mesti trauma nak mintak tea lagi,neu,n
179,@aidilfaruqi have fun,neu,n
180,tak faham. knp takleh berak?,neu,n
181,bahahhahahahahahhahahahaha kau beria ak tgk sampai habs ahahahhahaha,neu,n
182,ingat bagi senna teh,neu,n
183,accent dian hahahahaha comell tho,pos,n
184,aku igt bende lain tdi,neu,n
185,the accent,neu,n
186,hahahahaha aduh expired rupa nya,pos,n
187,hahahahah!! panjang betui citee!!!,neg,n
188,saya pernah sakit perut gitu tak boleh tegak rupa nya gastric,neu,n
0,funny how the ones ghosting were the ones chasing in the first place,neu,n
1,the 2 girls got ghosted after the podcast also,neu,n
