Index,Comment
0,"Japan IPL Free 100 IPL Shots for Brazilian and Boyzilian IPL Treatments on 9th June 2021, 69 Brazilian Day.

Redeem extra free 20 IPL Shots when you sign up via this link: ."
1,The friendship between Jade and Dew has now moved on to the next level
2,When Jade said that Dew was gonna IPL for her.... I expected it to be on a whole other part of the body than what we were shown...
3,This is next level friendship goals HAHAA
4,only for jade and dew will I willingly watch a whole 10min+ ad
5,"Dew is living every Singaporean man's dream, to have Jade Rasif touch their kukujiao sia"
6,i normally dont say this but jade seems so lovable in this video.
7,Jade n Dew makes a great duo..amazing chemistry
8,I guess this is how maximum lvl of frienship looks like
9,this is BY FAR the best episode of this show
10,We all know dew enjoyed it
11,One of the funniest episodes yet 
12,Dam! Just saying going to the next level now.
13,Next level friendship sia
14,Wow that's another level of being comfortable and trusting your friend
15,man like dew winning in life
16,Dew most definitely has balls.
17,Dew likes Keisha so much he put her name twice in the description
18,They seem to be having way more fun than what I presumed
19,So excited for new episode!
20,This channel is wildd siaaaaaaaaa
21,Adeline looks like Jade actually
22,Dew is such a cool dorky friend..
23,Wah so comfortable sia both of them
24,"Jade and Dew? A unexpected duo, time for a new ship since saf is not around.

Also jade mentioned dew's brows and i realised, brow bros"
25,this is so awkward to watch but I love it HAHAHAHHA
26,my fav episode ever
27,"This episode is 
spiccccy"
28,dew living the dream damn
29,"You can never go back, bro."
30,This was so entertaining 
31,"“whitening or non whitening mam?”
“epi”
“What’s epi?”"
32,PLSSSSS I COULDNT STOP LAUGHING
33,Bro this shit was so funny HAHAHAHAH plus the editing tho 
34,THE HAIR ON HER ARM
35,Jade is so adorable HAHAHAHA
36,BRO THE EDITOR
37,Wow i didn't know Japan IPL does shots for males too I'm gonna recommend guys to go there too! :)
38,I'm here for Dew's Freakout
39,this jade is sooo funny HAHHAHAHAHAHHAA.
40,wa dew nearly IPL her eye brow siaaaa
41,LMAOOOO THIS EP
42,the zoom in at the end though
43,LMAO This was so funny istg
44,"Ok not fair la, must do same place la, if not where got fair for dew"
45,So.. when can I book for Jade for my boyzilian 
46,Dew you're lucky
47,Saffron must be jealous 
48,This video is gonna be the top viewing video liao
49,I can’t stop laughing hahahhaha
50,HAHAHAHAHA “ eh why Soo small”
51,Jade is enjoying this more than Dew
