,Creator,Source,Comments
45,itsclarityco,youtube,"It's a moral responsibility of a child to take care of there parents when they are unable to do so
And if it is a question for you to take care of your parents or not
Then you don't deserve your parents"
13,itsclarityco,tiktok,"any woman below 30 who is wealthy out there, im up to be a stay at home husband thanks."
58,itsclarityco,youtube,"Filial piety, to me, is different at different stages of my life. When I'm still a school-going kid/teen, filial piety is respecting them, honouring them, and being obedient or at least respectfully explaining my views to them if our opinions differ. As I grow up and start working and earning my keep, on top of all those mentioned previously, need to give them monthly allowance while still providing for myself and my family if I'm married. But as they grow older and become more sickly and need closer care and supervision, then filial piety to me is putting them before myself. Sacrificing my own needs to ensure that all their living and healthcare needs are met."
29,thebackstagebunch,tiktok,their parents must be proud
25,thebackstagebunch,tiktok,wait how about see the couple making out but they are not couple??
62,thebackstagebunch,youtube,"Love Munah’s free passes 
 gonna use that next time"
39,welloshow,tiktok,police academy
51,itsclarityco,youtube,Parents are bunch of oldies that need to be reintegrated to new valley homes... Met unfortunate and permanent disabled oldies ... Am worried about my future...  Can u please guide me to new era of false love ..
67,thebackstagebunch,youtube,first!!!!
76,welloshow,youtube,"Honestly this episode is a bit boring. The intro is too quick, like it’d be better if you can intro who is Shanise (altho most of us know her) & Josephine. Josephine is abit too introverted for a podcast."
8,itsclarityco,tiktok,@li4 :3 literally our parents
79,welloshow,youtube,Datuk M Nasir & Arwah Loloq reading a lot of books to made a lyrics
72,thebackstagebunch,youtube,"Hahaha Dew is cornered by the girls.
But it's okay. This is something new and nice. And fun also."
66,thebackstagebunch,youtube,THE HAIR ON HER ARM
84,welloshow,youtube,thanks for subs !
85,welloshow,youtube,"please ADD ENG SUBTITLES TILL THE END OF VID PLEASE
 28:10"
89,welloshow,youtube,These 3 Wello guys are so damn clueless.
21,thebackstagebunch,tiktok,"i understand why our parents were worried, 16-18 yrs old alrd so sexually active?? mei you o/a levels meh"
64,thebackstagebunch,youtube,Why is Jade keep blinking her eyes hahahahaha
7,itsclarityco,tiktok,i cant find you on podcast
81,welloshow,youtube,Alamak y aslem never stutter or blank anymore siaaaaaa like last timee
20,thebackstagebunch,tiktok,"lol nothing to talk about , so now talk about this lol"
48,itsclarityco,youtube,I rather my country soldiers have no real combat experience and stay that way. A war won without fighting is true victory.
38,welloshow,tiktok,hadoiiiii
54,itsclarityco,youtube,Hey 
43,welloshow,tiktok,cannot brain
17,thebackstagebunch,tiktok,this probably the most messed up thing @j4n53n would do
2,itsclarityco,tiktok,"minha mae diz que eu sou o ""investimento"" dela, e ela sempre faz questao de sempre ressaltar isso, o medo que eu tenho de decepcionar ela nao ta escrito"
88,welloshow,youtube,never felt a 1 hour plus video not bored cause of how sham talks and his motivation
78,welloshow,youtube, @cj-fx2kj  no
56,itsclarityco,youtube,"watching this podcast reminds me of myself when i was a child. I also had an ambitious mom who worked the entire day and people were always saying things (as the host hazelle has done here too) like it's ""needed"" for moms to send the kid to infant care (or in my case, left in the hands of FDWs). My sibling and I grew up to be neglected kids who have issues with intimacy, and I don't want my future kids to go through the same thing. The truth is that it's not necessarily ""needed"" to sacrifice time with the kid! You always have a choice - sometimes it means having to give up a job or interest if you prioritise the child. On a systemic level, I think Sg is also not the most family-friendly place to work in this respect."
9,itsclarityco,tiktok,i think that raising kids the right way with love and passion it won't even be a matter of discussion it'll just happen not bcuz y owe them or anything but bcuz you love them unconditionally
12,itsclarityco,tiktok,who is he
86,welloshow,youtube,"CUTENYAA UXM ARE MORE TO CONVERSING IN MALAY WHILE WELLO CONVERSE MORE IN ENGLISH
🫶"
10,itsclarityco,tiktok,but the male host is very handsome soo... he is an outlier?
15,thebackstagebunch,tiktok,that's why we need andrew tate.
28,thebackstagebunch,tiktok,@itz_pw enoch in the future proud to serve his nation no matter in what way
40,welloshow,tiktok,'the wife believe' babi ah
14,itsclarityco,tiktok,@ he listens to frank ocean
74,thebackstagebunch,youtube,"im so happy and grateful for this show, y'all have no idea"
42,welloshow,tiktok,case at usa btw.
32,welloshow,tiktok,"""the wife believe"" *does the hand thingy* i cant"
5,itsclarityco,tiktok,i told both my parents to their face that i am not taking care of them when they are old
44,welloshow,tiktok,straight to the point je lahh kalau cam tu jawab sebb ape sakit perutt haih
36,welloshow,tiktok,wuish lain maciamm la melayu singapura ni haha
34,welloshow,tiktok,now donno oredy.
3,itsclarityco,tiktok,if a woman is richer than you. she will appreciate you being genuine and sincere than your wealth or lack there of
27,thebackstagebunch,tiktok,i feel very attacked
87,welloshow,youtube,"18:43 ""haikel lemme talk aaaaaa"" HAHAHAHHA"
77,welloshow,youtube,"worth to watch, like a entertain show"
24,thebackstagebunch,tiktok,your dad see this might be proud their daughter have grown up
11,itsclarityco,tiktok,@herlene nicole budol... watch this
1,itsclarityco,tiktok,si bro ay good english speaker
33,welloshow,tiktok,"i thought, angin la tu minum teh.. rupanya susu expired"
50,itsclarityco,youtube,thank you for sharing your personal experience with us! There's definitely no right or wrong way to parent (and no manual given!). What's most important is for us to find the right balance for your own family. 
23,thebackstagebunch,tiktok,why need official? 18 year old no financial or emotional stability official for what?
46,itsclarityco,youtube,"Point to note here is that Maintenance of Parents act is only used at the most extreme of situations. That’s why you hardly ever hear it being used and the when it is used, the verdict is such that children don’t give obscene amounts. Like filial piety, the law is laid out there, but then there are a bunch of folks that like to misuse these concepts and hit their children hard. Eg. If you don’t give me $x you are unfilial,I can sue you. But if it’s a gambler parent, this law does not applies. And Confucius does explain that in such a situation you don’t have to feed your parents demands (愚孝), instead the filial way to correct them. But Confucius has one requirement for this, he says correct them respectfully."
0,itsclarityco,tiktok,omghaadd
18,thebackstagebunch,tiktok,"""hey this is faz and i have commitment issues"""
37,welloshow,tiktok,is it based on true story
68,thebackstagebunch,youtube,We all know dew enjoyed it
49,itsclarityco,youtube," @choonkeonglim6178 

Commentable but idealistic…"
63,thebackstagebunch,youtube,I came to comment FLFC but it was already full sigh
65,thebackstagebunch,youtube,Wowwww all my fav cast
70,thebackstagebunch,youtube,wa dew nearly IPL her eye brow siaaaa
60,thebackstagebunch,youtube,Yay my favorite pair back tgt. Jade and Saffron!!!!
47,itsclarityco,youtube,"Why Germaine act stupid when Azura said ""reap what you sow"" XD then followed by the low blow about the law to demand money from their children. Damn strange. She cannot accept opposing views ah? siao"
55,itsclarityco,youtube,So good 
59,itsclarityco,youtube,Oh sorry to hear that. You had a bad childhood compared with others.
19,thebackstagebunch,tiktok,0
53,itsclarityco,youtube,Parents are bunch of oldies that need to be reintegrated to new valley homes... Met unfortunate and permanent disabled oldies ... Am worried about my future...  Can u please guide me to new era of false love ..
75,welloshow,youtube,And how Haikel looks at Shanise
69,thebackstagebunch,youtube,Keisha what an eye candy
82,welloshow,youtube,Can we get a Q.A question during the podcast
57,itsclarityco,youtube,"Singapore’s high rank structures are based solely on educational levels. Not Combat experience and exposures. 

You’ll be surprised that some of the most decorated and respected soldiers in the US Military are actually corporals and sergeants whom had seen front line actions and life and death situations first hand. Not some officers whom simply has a degree or a so called “scholar”.."
35,welloshow,tiktok,@mohdniell lwk do
22,thebackstagebunch,tiktok,bruh if the tables were turned......
31,welloshow,tiktok,@ernest tam @javier true
30,welloshow,tiktok,the wife believe..
26,thebackstagebunch,tiktok,facts
6,itsclarityco,tiktok,ne guzel anlatiyor askimm
4,itsclarityco,tiktok,what if what i want to achieve is you
41,welloshow,tiktok,@areyouokbabygorl
80,welloshow,youtube,Best episode ever! Following UXM straightaway from Malaysia
73,thebackstagebunch,youtube,Munah and Keisha's outfits are BOMBBB
16,thebackstagebunch,tiktok,what did he call that thing? ilbv? man these kids are way young.. soft army
61,thebackstagebunch,youtube,"Keisha sarah 
️
️
️"
71,thebackstagebunch,youtube,THE HAIR ON HER ARM
83,welloshow,youtube,Like i said yet again guys Shanise the 
52,itsclarityco,youtube,She is a trained counsellor too
