,Creator,Source,Comments
87,welloshow,youtube,wahh 2hrs liao .. let's goo laaa 
1,itsclarityco,tiktok,i have to visit yet. vegan so not looking at prawns i have a picture of beautiful vegetation and music and warmth
2,itsclarityco,tiktok,"so my ""shirmp"" term become international"
53,itsclarityco,youtube,Really ?? I have no idea who they are.
28,thebackstagebunch,tiktok,wait how about see the couple making out but they are not couple??
51,itsclarityco,youtube,"The part where you mentioned “Your parents didn’t leave you when you were young. So you don’t leave them when they’re old” can we reflect back to that statement. What if they MENTALLY left us? Sure they were just there “Physically” but what if they left mentally. As kids, we love it when parents showered us with encouragement and support. So even if they’re just physically in presence but never there mentally, how would you explain that?"
82,welloshow,youtube,Love we’ll always watched at Tiktok . Today so happy to watch at YouTube . Love y’all 
47,itsclarityco,youtube,Do they make alot of money???
22,thebackstagebunch,tiktok,it's fine... as long as the guys don't address the girl as girlfriend.
19,thebackstagebunch,tiktok,haiz i pity de future
33,welloshow,tiktok,damn that stepfather..mus stab him than say ghost did it..
81,welloshow,youtube,Its true tho the fan base for sham rahman r kids n i feel tt jufri orangnye real
50,itsclarityco,youtube,Wow. Would never enlist voluntarily in the army. 2 years + 10 cycles is more than enough for a lifetime.
38,welloshow,tiktok,natural storyteller
8,itsclarityco,tiktok,she's so pretty
54,itsclarityco,youtube,"Singaporeans are asset-rich, cash-poor.......lol."
30,welloshow,tiktok,its called secret mission
63,thebackstagebunch,youtube,"Hahaha Dew is cornered by the girls.
But it's okay. This is something new and nice. And fun also."
58,itsclarityco,youtube,"To support parents with basic necessities is a moral responsibility. Branded goods, holidays, country club membership etc they can jolly well fund themselves."
57,itsclarityco,youtube,Hard to find real leaders with empathy nowadays. Respect to her !
42,welloshow,tiktok,only in singapore
67,thebackstagebunch,youtube,Oof can't get over Munah's toned arms 
13,itsclarityco,tiktok,the more you tell me that i have to do something the less i want to actually do it
17,thebackstagebunch,tiktok,agree la bang
43,welloshow,tiktok,that's what i scared the most. the closed one can be someone who will traumatized your whole life
4,itsclarityco,tiktok,this deck.......of cards
5,itsclarityco,tiktok,his english
85,welloshow,youtube,The warrior poster really bring back my old childhood sia 
11,itsclarityco,tiktok,"toxic sia his ""friends"""
15,thebackstagebunch,tiktok,ahmad tate
80,welloshow,youtube,Shanise has toxic habits but lowkey seems like a matured person for her age
70,thebackstagebunch,youtube,Bro this shit was so funny HAHAHAHAH plus the editing tho 
14,itsclarityco,tiktok,our parents need to see this lol
71,thebackstagebunch,youtube,Finally...
25,thebackstagebunch,tiktok,don't marry no such problem
79,welloshow,youtube,Bruh such an unexpected but a dream collab!
48,itsclarityco,youtube,Oh sorry to hear that. You had a bad childhood compared with others.
27,thebackstagebunch,tiktok,aiya they say anything also can la guys say anything then different story
39,welloshow,tiktok,@whiskas.masak.kicap
83,welloshow,youtube,juff is so humble and down to earth unlike sham lol
35,welloshow,tiktok,lowkey tu ape sia
26,thebackstagebunch,tiktok,biteeeeeeeee
7,itsclarityco,tiktok,this is so interesting!! i loved hearing all of your thoughts!
29,thebackstagebunch,tiktok,common tate w
45,itsclarityco,youtube,the studio is so aesthetic! will you ladies be doing a studio tour!? :)
88,welloshow,youtube,i think both of them (juffri and sham) kene datang balik dekat wello after the fight. just an opinion
64,thebackstagebunch,youtube,rlly love how they talk like they're catching up with one another or like jsut sharing their truest feelings about things without even censoring names when they talk abt it (just edited out for privacy purposes) IT MAKES EVERYTH SO REAL and not curated just for content purposes LOVE IT!!!
89,welloshow,youtube,"Violence its never a way to resolve a problem.  

Lead a good example.  

Hope people can open up their mind to think tru out your journey in life."
36,welloshow,tiktok,steady now the nus dudes gonna blame ghost from now on@danyzzzzzzzzz
52,itsclarityco,youtube,Hey hush crew
78,welloshow,youtube,"I thought Steven Lim vs Pradip Subramanian was the first, no?"
6,itsclarityco,tiktok,no one would care lmfao
72,thebackstagebunch,youtube,Yes. Polygamy topic pls! Hahaha or open relationship!
16,thebackstagebunch,tiktok,eh musibot uncle raymond sia b chachang kej ko ko sia siang keh
56,itsclarityco,youtube,Wow i love her voice and physique
34,welloshow,tiktok,now don't know already lololol
73,thebackstagebunch,youtube,i like
24,thebackstagebunch,tiktok,"tts y, till now they're not married. lol."
37,welloshow,tiktok,mcm cerita megan hall gahahah
32,welloshow,tiktok,the ending is the climax lhhhh
75,welloshow,youtube,FIRST AH
21,thebackstagebunch,tiktok,that's why we need andrew tate.
77,welloshow,youtube,LOVE SHANISE!!! HIDUP MINAHSSSSSSSSSSSS!
62,thebackstagebunch,youtube,"Dew: 'Mashaallah I thought HE was insecure!' 

Damn i really like this new Dew vibe "
10,itsclarityco,tiktok,really interesting. from a european perspective this is quite shocking to me. my parents would never expect or even accept money from me.
18,thebackstagebunch,tiktok,than cook and clean and learn to not dress for the stress than you will find love
76,welloshow,youtube,"Nice episode ! Should really interview with UXM boys? They’re #1 malay YouTuber in sg for so long 
 they’re literally my childhood & stayed relevant for 8-9years "
68,thebackstagebunch,youtube,Dew looks like he's pimping lmao
65,thebackstagebunch,youtube,Mashallah 2.28 
84,welloshow,youtube,"this topic i feel treads on dangerous grounds which thankfully managed to steer away from becoming a toxic debate. too many perspectives and approaches, boys and girls approach this differently, character also plays a part. introverts and extroverts and generation also plays a part. 

22:16-23:00... the risk is being led on to the point of no return where you end up having your emotions crumpled and you being a like a carpet stepped all over.

nice guys finish last."
66,thebackstagebunch,youtube,OnlyFans Topic lessgooo
60,thebackstagebunch,youtube,"HAHAHAHHAHAHAHA dew's ""mashallah"" tho"
40,welloshow,tiktok,bro the ghost ltr appear say don't any how say sia even ghost got dignity one
46,itsclarityco,youtube,I think the girl who never serve shld keep quiet and actually let the servicewoman talk
49,itsclarityco,youtube,Beautiful without makeup. 
59,itsclarityco,youtube,All stay together problem solved haha
86,welloshow,youtube,Alyph's voice is so canduuu.. Tercandu canduuu.. 
20,thebackstagebunch,tiktok,#truthhurts
41,welloshow,tiktok,step dads are scary
69,thebackstagebunch,youtube,"WHOSE YALL EDITOR, THE CAMERAWORK IS ALSO GODLIKE WTF"
74,thebackstagebunch,youtube,AJADEE SAFF DEWWWWWW OOHHH
